Epoch,BZ_GSM,Vx,proton_density
2023-05-05 00:00:00,-2.7,,
2023-05-05 00:01:00,-2.71,,
2023-05-05 00:02:00,-2.86,,
2023-05-05 00:03:00,-2.8,,
2023-05-05 00:04:00,-2.82,,
2023-05-05 00:05:00,-2.89,,
2023-05-05 00:06:00,-2.89,,
2023-05-05 00:07:00,-2.9,,
2023-05-05 00:08:00,-3.03,,
2023-05-05 00:09:00,-3.04,,
2023-05-05 00:10:00,-3.02,,
2023-05-05 00:11:00,-2.98,-389.7,6.63
2023-05-05 00:12:00,-2.93,-389.7,6.63
2023-05-05 00:13:00,-3.0,-387.7,6.75
2023-05-05 00:14:00,-3.04,-387.7,6.75
2023-05-05 00:15:00,-3.01,-387.7,6.75
2023-05-05 00:16:00,-2.97,,
2023-05-05 00:17:00,-3.03,,
2023-05-05 00:18:00,-3.04,,
2023-05-05 00:19:00,-3.04,,
2023-05-05 00:20:00,-2.93,,
2023-05-05 00:21:00,-2.92,,
2023-05-05 00:22:00,-3.05,,
2023-05-05 00:23:00,-2.96,-387.5,6.71
2023-05-05 00:24:00,-2.83,-387.5,6.71
2023-05-05 00:25:00,-2.88,,
2023-05-05 00:26:00,-2.99,,
2023-05-05 00:27:00,-3.01,-387.3,6.55
2023-05-05 00:28:00,-2.95,-387.3,6.55
2023-05-05 00:29:00,-3.08,-387.3,6.55
2023-05-05 00:30:00,-3.07,,
2023-05-05 00:31:00,,-388.6,6.3
2023-05-05 00:32:00,-3.05,-388.6,6.3
2023-05-05 00:33:00,-3.07,-388.6,6.3
2023-05-05 00:34:00,,,
2023-05-05 00:35:00,-3.18,-399.0,5.67
2023-05-05 00:36:00,-3.13,-398.0,5.79
2023-05-05 00:37:00,-2.46,-386.9,7.1
2023-05-05 00:38:00,-2.25,-386.3,7.17
2023-05-05 00:39:00,-2.63,-388.5,6.47
2023-05-05 00:40:00,-2.54,-388.5,6.47
2023-05-05 00:41:00,-2.43,-388.2,6.48
2023-05-05 00:42:00,-2.04,-388.2,6.48
2023-05-05 00:43:00,-2.53,-388.1,6.16
2023-05-05 00:44:00,-2.22,-388.1,6.16
2023-05-05 00:45:00,-2.41,-388.1,6.16
2023-05-05 00:46:00,-2.69,,
2023-05-05 00:47:00,-1.61,-391.7,8.05
2023-05-05 00:48:00,-2.45,-391.7,8.05
2023-05-05 00:49:00,-2.14,-391.9,8.05
2023-05-05 00:50:00,-2.01,-391.1,8.1
2023-05-05 00:51:00,-2.05,-388.9,8.24
2023-05-05 00:52:00,-2.33,-388.8,8.34
2023-05-05 00:53:00,-1.63,-388.8,8.34
2023-05-05 00:54:00,-1.83,-388.8,8.34
2023-05-05 00:55:00,-2.36,-391.3,7.91
2023-05-05 00:56:00,-1.46,-391.3,7.91
2023-05-05 00:57:00,-1.51,-387.6,8.35
2023-05-05 00:58:00,-1.99,-387.9,8.4
2023-05-05 00:59:00,-1.76,-388.0,8.41
2023-05-05 01:00:00,-1.84,-389.4,8.09
2023-05-05 01:01:00,-2.16,-389.4,8.09
2023-05-05 01:02:00,-1.92,-389.4,8.09
2023-05-05 01:03:00,-1.96,-389.6,8.13
2023-05-05 01:04:00,-2.08,-389.6,8.13
2023-05-05 01:05:00,-1.82,,
2023-05-05 01:06:00,-1.83,-390.2,8.25
2023-05-05 01:07:00,-1.88,-390.2,8.25
2023-05-05 01:08:00,-1.88,-389.7,8.19
2023-05-05 01:09:00,-2.02,-389.6,8.18
2023-05-05 01:10:00,-1.95,,
2023-05-05 01:11:00,-1.89,,
2023-05-05 01:12:00,-1.92,-388.8,8.05
2023-05-05 01:13:00,-2.0,-388.8,8.05
2023-05-05 01:14:00,-1.96,-388.3,8.02
2023-05-05 01:15:00,-2.04,-388.2,8.0
2023-05-05 01:16:00,-2.02,-387.4,7.82
2023-05-05 01:17:00,-1.96,-387.4,7.52
2023-05-05 01:18:00,-2.23,-387.5,7.36
2023-05-05 01:19:00,-1.77,,
2023-05-05 01:20:00,-1.67,,
2023-05-05 01:21:00,-1.86,-386.7,8.04
2023-05-05 01:22:00,-1.69,-365.5,7.65
2023-05-05 01:23:00,-2.03,-372.4,7.71
2023-05-05 01:24:00,-2.13,-386.8,7.93
2023-05-05 01:25:00,,,
2023-05-05 01:26:00,-2.25,,
2023-05-05 01:27:00,-2.25,,
2023-05-05 01:28:00,,,
2023-05-05 01:29:00,,,
2023-05-05 01:30:00,,,
2023-05-05 01:31:00,-2.28,,
2023-05-05 01:32:00,,,
2023-05-05 01:33:00,,,
2023-05-05 01:34:00,,,
2023-05-05 01:35:00,,,
2023-05-05 01:36:00,-2.19,,
2023-05-05 01:37:00,,,
2023-05-05 01:38:00,,,
2023-05-05 01:39:00,,,
2023-05-05 01:40:00,,,
2023-05-05 01:41:00,-2.25,,
2023-05-05 01:42:00,-2.4,,
2023-05-05 01:43:00,-2.36,,
2023-05-05 01:44:00,-2.15,,
2023-05-05 01:45:00,-2.35,,
2023-05-05 01:46:00,-2.33,,
2023-05-05 01:47:00,-2.27,-383.2,7.41
2023-05-05 01:48:00,-2.21,-383.2,7.41
2023-05-05 01:49:00,-2.4,-383.2,7.41
2023-05-05 01:50:00,-2.33,-384.8,7.23
2023-05-05 01:51:00,-2.31,-384.8,7.23
2023-05-05 01:52:00,-2.31,-386.5,7.4
2023-05-05 01:53:00,-2.09,-384.0,7.43
2023-05-05 01:54:00,-1.81,-385.0,7.36
2023-05-05 01:55:00,-2.03,-382.9,7.25
2023-05-05 01:56:00,-2.26,-383.4,6.32
2023-05-05 01:57:00,-2.24,-382.8,6.14
2023-05-05 01:58:00,-2.19,,
2023-05-05 01:59:00,-1.91,,
2023-05-05 02:00:00,-2.2,,
2023-05-05 02:01:00,-2.2,,
2023-05-05 02:02:00,-2.36,-382.1,5.5
2023-05-05 02:03:00,-2.49,-382.0,5.53
2023-05-05 02:04:00,-2.53,-381.7,5.61
2023-05-05 02:05:00,-2.56,-381.5,5.68
2023-05-05 02:06:00,-2.41,-380.9,5.4
2023-05-05 02:07:00,-2.59,-382.4,6.0
2023-05-05 02:08:00,-2.69,-384.5,6.14
2023-05-05 02:09:00,-2.65,-383.6,5.86
2023-05-05 02:10:00,-2.35,-383.1,5.87
2023-05-05 02:11:00,-2.06,,
2023-05-05 02:12:00,-2.03,,
2023-05-05 02:13:00,-2.28,,
2023-05-05 02:14:00,-2.18,,
2023-05-05 02:15:00,-2.08,,
2023-05-05 02:16:00,-2.11,,
2023-05-05 02:17:00,-2.23,,
2023-05-05 02:18:00,-2.16,,
2023-05-05 02:19:00,-2.17,,
2023-05-05 02:20:00,-2.13,,
2023-05-05 02:21:00,-2.03,,
2023-05-05 02:22:00,-2.34,,
2023-05-05 02:23:00,-2.51,,
2023-05-05 02:24:00,-2.47,,
2023-05-05 02:25:00,-2.52,,
2023-05-05 02:26:00,-2.45,,
2023-05-05 02:27:00,-2.5,,
2023-05-05 02:28:00,-2.38,,
2023-05-05 02:29:00,-2.36,,
2023-05-05 02:30:00,-2.49,,
2023-05-05 02:31:00,-2.44,,
2023-05-05 02:32:00,-2.24,,
2023-05-05 02:33:00,-2.49,,
2023-05-05 02:34:00,-2.44,,
2023-05-05 02:35:00,-2.48,,
2023-05-05 02:36:00,-2.5,-384.0,5.57
2023-05-05 02:37:00,-2.45,-383.7,5.64
2023-05-05 02:38:00,-2.43,-383.5,5.68
2023-05-05 02:39:00,-2.32,,
2023-05-05 02:40:00,-2.43,-390.7,5.24
2023-05-05 02:41:00,-2.51,-390.7,5.24
2023-05-05 02:42:00,-1.99,,
2023-05-05 02:43:00,-2.15,,
2023-05-05 02:44:00,-1.82,-383.6,5.73
2023-05-05 02:45:00,-1.84,-383.6,5.73
2023-05-05 02:46:00,-1.29,,
2023-05-05 02:47:00,-1.53,-354.4,2.44
2023-05-05 02:48:00,-1.9,-356.1,2.67
2023-05-05 02:49:00,-1.6,-356.9,2.7
2023-05-05 02:50:00,-1.57,-355.2,2.52
2023-05-05 02:51:00,-1.66,-353.8,2.54
2023-05-05 02:52:00,-1.68,-354.9,2.77
2023-05-05 02:53:00,-1.82,-353.1,2.51
2023-05-05 02:54:00,-1.62,-352.4,2.42
2023-05-05 02:55:00,-1.7,-352.4,2.42
2023-05-05 02:56:00,-1.95,-384.8,5.87
2023-05-05 02:57:00,-1.82,-384.8,5.87
2023-05-05 02:58:00,-2.05,,
2023-05-05 02:59:00,-2.2,,
2023-05-05 03:00:00,-1.92,,
2023-05-05 03:01:00,-1.93,,
2023-05-05 03:02:00,-2.1,-351.9,2.69
2023-05-05 03:03:00,-2.17,-351.9,2.69
2023-05-05 03:04:00,-1.99,-352.4,2.79
2023-05-05 03:05:00,-1.87,-352.2,2.75
2023-05-05 03:06:00,-1.76,-351.7,2.65
2023-05-05 03:07:00,-1.68,-351.8,2.74
2023-05-05 03:08:00,-1.76,-351.8,2.74
2023-05-05 03:09:00,-1.66,,
2023-05-05 03:10:00,-1.61,,
2023-05-05 03:11:00,-1.74,,
2023-05-05 03:12:00,-1.54,,
2023-05-05 03:13:00,-1.53,,
2023-05-05 03:14:00,-1.42,,
2023-05-05 03:15:00,-1.74,-354.7,2.37
2023-05-05 03:16:00,-1.78,-354.7,2.37
2023-05-05 03:17:00,-1.76,-354.7,2.37
2023-05-05 03:18:00,-1.78,,
2023-05-05 03:19:00,-1.77,,
2023-05-05 03:20:00,-1.68,,
2023-05-05 03:21:00,-1.66,,
2023-05-05 03:22:00,-1.72,,
2023-05-05 03:23:00,-1.78,,
2023-05-05 03:24:00,-1.7,,
2023-05-05 03:25:00,-1.61,-355.3,2.9
